QID,question,answer,correct,choice
41,In what medium was Superman’s Kryptonite weakness introduced?,The radio series,TRUE,A
157,In what part of a newspaper would you post an item for sale?,Classifieds,TRUE,C
157,In what part of a newspaper would you post an item for sale?,Sports section,FALSE,A
157,In what part of a newspaper would you post an item for sale?,Weather page,FALSE,B
1543,In what sport would you most likely use the term “bullseye”?,Darts,TRUE,C
1543,In what sport would you most likely use the term “bullseye”?,Golf,FALSE,A
1543,In what sport would you most likely use the term “bullseye”?,Shuffleboard,FALSE,B
67,In which African country is English NOT the official language?,Chad,TRUE,C
67,In which African country is English NOT the official language?,Liberia,FALSE,B
67,In which African country is English NOT the official language?,Sierra Leone,FALSE,A
846,In which country do people typically answer the phone by saying “Pronto”?,Canada,FALSE,B
846,In which country do people typically answer the phone by saying “Pronto”?,China,FALSE,A
846,In which country do people typically answer the phone by saying “Pronto”?,Italy,TRUE,C
88,In which country is GeoCities still up and running?,Australia,FALSE,C
88,In which country is GeoCities still up and running?,Canada,FALSE,A
88,In which country is GeoCities still up and running?,Japan,TRUE,B
1235,In which discipline are you most likely to learn about morphemes?,Linguistics,TRUE,C
1235,In which discipline are you most likely to learn about morphemes?,Marine biology,FALSE,B
1235,In which discipline are you most likely to learn about morphemes?,Nuclear chemistry,FALSE,A
986,In which of the following musicals does the first Holy Roman Emperor appear?,Man of La Mancha,FALSE,C
986,In which of the following musicals does the first Holy Roman Emperor appear?,Pippin,TRUE,A
986,In which of the following musicals does the first Holy Roman Emperor appear?,Spamalot,FALSE,B
1541,In which of these directions can most standard elevators travel?,Left,FALSE,C
1541,In which of these directions can most standard elevators travel?,North by northwest,FALSE,A
1541,In which of these directions can most standard elevators travel?,Up,TRUE,B
487,In which of these games do you yell the game's name when you win?,Bingo,TRUE,A
487,In which of these games do you yell the game's name when you win?,Checkers,FALSE,B
487,In which of these games do you yell the game's name when you win?,Chess,FALSE,C
493,In which of these movies does the bootstrap paradox play a key role?,12 Monkeys,TRUE,A
493,In which of these movies does the bootstrap paradox play a key role?,Alien,FALSE,B
493,In which of these movies does the bootstrap paradox play a key role?,Gravity,FALSE,C
1285,In which of these novels is the first word the same as the title?,Dracula,FALSE,C
1285,In which of these novels is the first word the same as the title?,Frankenstein,FALSE,B
1285,In which of these novels is the first word the same as the title?,Lolita,TRUE,A
489,In which of these places do brides traditionally get temporary tattoos of grooms' initials?,India,TRUE,A
489,In which of these places do brides traditionally get temporary tattoos of grooms' initials?,Mongolia,FALSE,B
489,In which of these places do brides traditionally get temporary tattoos of grooms' initials?,New Zealand,FALSE,C
877,In which of these places does the capital city NOT contain the name of the country?,Barbados,TRUE,B
877,In which of these places does the capital city NOT contain the name of the country?,Guatemala,FALSE,C
877,In which of these places does the capital city NOT contain the name of the country?,Kuwait,FALSE,A
930,In which of these places were rulers known as pharaohs?,Ancient Egypt,TRUE,A
930,In which of these places were rulers known as pharaohs?,Medieval Japan,FALSE,B
930,In which of these places were rulers known as pharaohs?,Studio54,FALSE,C
932,In which of these sports can a player NOT get a strike?,Baseball,FALSE,B
932,In which of these sports can a player NOT get a strike?,Basketball,TRUE,C
932,In which of these sports can a player NOT get a strike?,Bowling,FALSE,A
693,In which of these sports do competitors often wear jodhpurs?,Cricket,FALSE,A
693,In which of these sports do competitors often wear jodhpurs?,Jai alai,FALSE,C
693,In which of these sports do competitors often wear jodhpurs?,Polo,TRUE,B
1438,In which of these terms does the initial refer to the name of an emperor?,C-Section,TRUE,B
1438,In which of these terms does the initial refer to the name of an emperor?,Q Rating,FALSE,C
1438,In which of these terms does the initial refer to the name of an emperor?,W-2,FALSE,A
794,In which of these would you most likely find a wet cell battery?,Cellphone tower,TRUE,C
794,In which of these would you most likely find a wet cell battery?,Laptop computer,FALSE,B
794,In which of these would you most likely find a wet cell battery?,TV remote control,FALSE,A
810,In which type of exercise class would you most likely use a reformer?,Pilates,TRUE,B
810,In which type of exercise class would you most likely use a reformer?,Spin,FALSE,C
810,In which type of exercise class would you most likely use a reformer?,Zumba,FALSE,A
1207,"In writing, what set of rules regulates the order of words?",Arithmetic,FALSE,B
1207,"In writing, what set of rules regulates the order of words?",Spelling,FALSE,A
1207,"In writing, what set of rules regulates the order of words?",Syntax,TRUE,C
1165,"Including today, how many “Friday the 13ths” will occur during 2018?",Four,FALSE,B
1165,"Including today, how many “Friday the 13ths” will occur during 2018?",Six,FALSE,C
1165,"Including today, how many “Friday the 13ths” will occur during 2018?",Two,TRUE,A
672,Jane Morgan was a nom de plume for the author of which of these works?,Jane Eyre,FALSE,C
672,Jane Morgan was a nom de plume for the author of which of these works?,Last of the Mohicans,TRUE,B
672,Jane Morgan was a nom de plume for the author of which of these works?,Wuthering Heights,FALSE,A
292,"Jimi Hendrix, Frank Sinatra &amp; Bobby Darin all released songs with what name in the title?",Dolly,TRUE,C
292,"Jimi Hendrix, Frank Sinatra &amp; Bobby Darin all released songs with what name in the title?",Joe,FALSE,B
292,"Jimi Hendrix, Frank Sinatra &amp; Bobby Darin all released songs with what name in the title?",Mary,FALSE,A
134,King Louis XIV’s Palace of Versailles contained over 150 pieces of furniture made entirely of what?,Ebony,FALSE,C
134,King Louis XIV’s Palace of Versailles contained over 150 pieces of furniture made entirely of what?,Ivory,FALSE,B
134,King Louis XIV’s Palace of Versailles contained over 150 pieces of furniture made entirely of what?,Silver,TRUE,A
1116,Koko the gorilla is famous for doing which of these things?,Keeping a pet,TRUE,C
1116,Koko the gorilla is famous for doing which of these things?,Knowing her birthday,FALSE,A
1116,Koko the gorilla is famous for doing which of these things?,Meeting a US president,FALSE,B
475,Korean pop music is often called what?,Fiddlestick funk,FALSE,B
475,Korean pop music is often called what?,Hot jazz,FALSE,A
475,Korean pop music is often called what?,K-pop,TRUE,C
417,Lady Godiva allegedly disrobed and rode a horse through the streets to oppose what?,French influence,FALSE,B
417,Lady Godiva allegedly disrobed and rode a horse through the streets to oppose what?,Religious decree,FALSE,C
417,Lady Godiva allegedly disrobed and rode a horse through the streets to oppose what?,Taxation,TRUE,A
967,Las Vegas welcomes visitors with an iconic sign that declares the city is what?,Fabulous,TRUE,C
967,Las Vegas welcomes visitors with an iconic sign that declares the city is what?,Historic,FALSE,A
967,Las Vegas welcomes visitors with an iconic sign that declares the city is what?,Scenic,FALSE,B
107,"Last year, Microsoft angered customers by announcing it would eliminate what Windows software?",Paint,TRUE,C
107,"Last year, Microsoft angered customers by announcing it would eliminate what Windows software?",Solitaire,FALSE,B
107,"Last year, Microsoft angered customers by announcing it would eliminate what Windows software?",WordPad,FALSE,A
847,Legal work done without charging a fee is known as what?,Affidavit,FALSE,B
847,Legal work done without charging a fee is known as what?,Habeas corpus,FALSE,A
847,Legal work done without charging a fee is known as what?,Pro bono,TRUE,C
1255,Legendary NBA player Larry Bird went on to coach what team?,Boston Celtics,FALSE,A
1255,Legendary NBA player Larry Bird went on to coach what team?,Indiana Pacers,TRUE,B
1255,Legendary NBA player Larry Bird went on to coach what team?,Los Angeles Lakers,FALSE,C
136,Lonnie Johnson accidentally created the Supersoaker while trying to build what?,Efficient sprinklers,FALSE,C
136,Lonnie Johnson accidentally created the Supersoaker while trying to build what?,Heat pump,TRUE,A
136,Lonnie Johnson accidentally created the Supersoaker while trying to build what?,Nerf Blaster rival,FALSE,B
521,Loyola University’s “Madagascar Madness” is an annual race of what animal?,Aardvark,FALSE,C
521,Loyola University’s “Madagascar Madness” is an annual race of what animal?,Civet,FALSE,B
521,Loyola University’s “Madagascar Madness” is an annual race of what animal?,Cockroach,TRUE,A
392,Madonna was inducted into the Rock &amp; Roll Hall of Fame by the singer of which song?,Crazy in Love,FALSE,A
392,Madonna was inducted into the Rock &amp; Roll Hall of Fame by the singer of which song?,Cry Me a River,TRUE,C
392,Madonna was inducted into the Rock &amp; Roll Hall of Fame by the singer of which song?,Toxic,FALSE,B
269,Matt Damon &amp; Ben Affleck appear uncredited in which baseball movie?,Fever Pitch,FALSE,C
269,Matt Damon &amp; Ben Affleck appear uncredited in which baseball movie?,Field of Dreams,TRUE,A
269,Matt Damon &amp; Ben Affleck appear uncredited in which baseball movie?,Moneyball,FALSE,B
1295,Meat Loaf’s album “Bat Out of Hell” features songs originally written for a musical about who?,Dracula,FALSE,B
1295,Meat Loaf’s album “Bat Out of Hell” features songs originally written for a musical about who?,James Dean,FALSE,A
1295,Meat Loaf’s album “Bat Out of Hell” features songs originally written for a musical about who?,Peter Pan,TRUE,C
294,Medicine you can buy without a prescription is said to be available over-the-what?,Counter,TRUE,A
294,Medicine you can buy without a prescription is said to be available over-the-what?,Rainbow,FALSE,C
294,Medicine you can buy without a prescription is said to be available over-the-what?,Transom,FALSE,B
1009,Michael Douglas’s first Oscar was for a film set where?,Battlefield,FALSE,B
1009,Michael Douglas’s first Oscar was for a film set where?,Investment Bank,FALSE,A
1009,Michael Douglas’s first Oscar was for a film set where?,Mental Institution,TRUE,C
1457,Michael Jackson was known as the King of what?,Bahrain,FALSE,C
1457,Michael Jackson was known as the King of what?,Breakfast,FALSE,A
1457,Michael Jackson was known as the King of what?,Pop,TRUE,B
242,Microblading eyebrows essentially consists of doing what?,Drawing them in,TRUE,A
242,Microblading eyebrows essentially consists of doing what?,Plucking them,FALSE,C
242,Microblading eyebrows essentially consists of doing what?,Trimming them,FALSE,B
896,Militia soldiers in the American Revolutionary War were commonly called what?,Millenniummen,FALSE,B
896,Militia soldiers in the American Revolutionary War were commonly called what?,Minutemen,TRUE,A
896,Militia soldiers in the American Revolutionary War were commonly called what?,Monthmen,FALSE,C
1530,Modern automobiles typically run on which of these?,Candle wax,FALSE,A
1530,Modern automobiles typically run on which of these?,Gasoline,TRUE,B
1530,Modern automobiles typically run on which of these?,Hand-wound springs,FALSE,C
694,Moore’s Law is a famous observation that concerns what?,Computing power,TRUE,C
694,Moore’s Law is a famous observation that concerns what?,Expansion of universe,FALSE,A
694,Moore’s Law is a famous observation that concerns what?,Human evolution,FALSE,B
950,Mozart’s “The Marriage of Figaro” continues the story of what other opera?,La Traviata,FALSE,C
950,Mozart’s “The Marriage of Figaro” continues the story of what other opera?,Rigoletto,FALSE,B
950,Mozart’s “The Marriage of Figaro” continues the story of what other opera?,The Barber of Seville,TRUE,A
1505,"Muhammad Ali famously said he could “float like a butterfly, sting like a” what?",Bee,TRUE,B
1505,"Muhammad Ali famously said he could “float like a butterfly, sting like a” what?",Jellyfish,FALSE,A
1505,"Muhammad Ali famously said he could “float like a butterfly, sting like a” what?",Personal insult,FALSE,C
1290,NASA’s Curiosity Rover was built to explore the surface of what?,Jupiter,FALSE,B
1290,NASA’s Curiosity Rover was built to explore the surface of what?,Mars,TRUE,C
1290,NASA’s Curiosity Rover was built to explore the surface of what?,The moon,FALSE,A
788,Neapolitan ice cream gets its name from a city in what country?,Canada,FALSE,C
788,Neapolitan ice cream gets its name from a city in what country?,Germany,FALSE,B
788,Neapolitan ice cream gets its name from a city in what country?,Italy,TRUE,A
254,Nearly every episode of which TV show is named after a song title?,Glee,FALSE,A
254,Nearly every episode of which TV show is named after a song title?,Gossip Girl,FALSE,B
254,Nearly every episode of which TV show is named after a song title?,Grey’s Anatomy,TRUE,C
213,Neil Armstrong was the first person to do what?,Dunk a basketball,FALSE,C
213,Neil Armstrong was the first person to do what?,Run a 4-minute mile,FALSE,A
213,Neil Armstrong was the first person to do what?,Walk on the moon,TRUE,B
381,Nerf balls were initially marketed as the world’s first what?,Baby ball,FALSE,C
381,Nerf balls were initially marketed as the world’s first what?,Indoor ball,TRUE,B
381,Nerf balls were initially marketed as the world’s first what?,Safety ball,FALSE,A
395,New Jersey native John Taylor is credited with creating what processed meat product?,Frank 'n Stuff,FALSE,B
395,New Jersey native John Taylor is credited with creating what processed meat product?,Pork Roll,TRUE,C
395,New Jersey native John Taylor is credited with creating what processed meat product?,Slim Jim,FALSE,A
19,New Mexico exempts which group of people from paying state income taxes?,Centenarians,TRUE,B
19,New Mexico exempts which group of people from paying state income taxes?,Hybrid car owners,FALSE,A
19,New Mexico exempts which group of people from paying state income taxes?,Registered lobbyists,FALSE,C
1038,Newborn flamingoes are typically what color?,Dark red,FALSE,C
1038,Newborn flamingoes are typically what color?,Light gray,TRUE,A
1038,Newborn flamingoes are typically what color?,Pale green,FALSE,B
622,Norman Rockwell’s iconic Four Freedoms series contains a famous scene set where?,Baseball game,FALSE,A
622,Norman Rockwell’s iconic Four Freedoms series contains a famous scene set where?,Diner counter,FALSE,C
622,Norman Rockwell’s iconic Four Freedoms series contains a famous scene set where?,Thanksgiving table,TRUE,B
1241,"Of the following cities, which is farthest west?",Boise,FALSE,B
1241,"Of the following cities, which is farthest west?",Los Angeles,FALSE,A
1241,"Of the following cities, which is farthest west?",Reno,TRUE,C
1476,"Of the US presidents born in the 20th century, who held office first?",Dwight D. Eisenhower,FALSE,A
1476,"Of the US presidents born in the 20th century, who held office first?",John F. Kennedy,TRUE,B
1476,"Of the US presidents born in the 20th century, who held office first?",Lyndon B. Johnson,FALSE,C
45,"On a compass, what does the letter N typically stand for?",Norbit,FALSE,A
45,"On a compass, what does the letter N typically stand for?",Nordic,FALSE,C
45,"On a compass, what does the letter N typically stand for?",North,TRUE,B
978,"On a map, Italy is often said to resemble what everyday item?",Boot,TRUE,A
978,"On a map, Italy is often said to resemble what everyday item?",Catcher's mitt,FALSE,B
978,"On a map, Italy is often said to resemble what everyday item?",Wine glass,FALSE,C
941,"On Broadway, a “triple threat” is a person who sings, dances and what?",Acts,TRUE,A
941,"On Broadway, a “triple threat” is a person who sings, dances and what?",Bakes cakes,FALSE,B
941,"On Broadway, a “triple threat” is a person who sings, dances and what?",Trains dogs,FALSE,C
520,"On Disneyland’s first day in 1955, which attraction was NOT present?",It's a Small World,TRUE,A
520,"On Disneyland’s first day in 1955, which attraction was NOT present?",Mad Tea Party,FALSE,B
520,"On Disneyland’s first day in 1955, which attraction was NOT present?",Mr. Toad's Wild Ride,FALSE,C
697,"On her first recording, Billie Holiday was accompanied by what jazz legend?",Benny Goodman,TRUE,A
697,"On her first recording, Billie Holiday was accompanied by what jazz legend?",Count Basie,FALSE,C
697,"On her first recording, Billie Holiday was accompanied by what jazz legend?",Duke Ellington,FALSE,B
1387,"On the periodic table of the elements, what are the horizontal rows called?",Blocks,FALSE,C
1387,"On the periodic table of the elements, what are the horizontal rows called?",Groups,FALSE,A
1387,"On the periodic table of the elements, what are the horizontal rows called?",Periods,TRUE,B
673,"Once a body of water, which of these regions is now dried out?",Aral Sea,TRUE,A
673,"Once a body of water, which of these regions is now dried out?",Caspian Sea,FALSE,B
673,"Once a body of water, which of these regions is now dried out?",Lake Balkhash,FALSE,C
709,One of the earliest descriptions of dental floss appears in what landmark of literature?,Little Women,FALSE,B
709,One of the earliest descriptions of dental floss appears in what landmark of literature?,Pride and Prejudice,FALSE,A
709,One of the earliest descriptions of dental floss appears in what landmark of literature?,Ulysses,TRUE,C
165,"One thousand years ago, which of these regions was heavily populated with Moorish people?",Albion,FALSE,A
165,"One thousand years ago, which of these regions was heavily populated with Moorish people?",Iberia,TRUE,C
165,"One thousand years ago, which of these regions was heavily populated with Moorish people?",Novgorod,FALSE,B
600,"Oslo, Norway is home to a museum featuring thousands of what mini items?",Bottles,TRUE,B
600,"Oslo, Norway is home to a museum featuring thousands of what mini items?",PEZ dispensers,FALSE,A
600,"Oslo, Norway is home to a museum featuring thousands of what mini items?",Troll dolls,FALSE,C
940,Painter Margaret Keane’s work directly inspired which cartoon series?,Jem and the Holograms,FALSE,A
940,Painter Margaret Keane’s work directly inspired which cartoon series?,My Little Pony,FALSE,C
940,Painter Margaret Keane’s work directly inspired which cartoon series?,The Powerpuff Girls,TRUE,B
59,Pantene Pro-V and Garnier Fructis are popular types of what?,Champagne,FALSE,C
59,Pantene Pro-V and Garnier Fructis are popular types of what?,Shampoo,TRUE,B
59,Pantene Pro-V and Garnier Fructis are popular types of what?,ShamWow,FALSE,A
12,Parmesan cheese is named for an Italian province called what?,Parma,TRUE,C
12,Parmesan cheese is named for an Italian province called what?,Romana,FALSE,A
12,Parmesan cheese is named for an Italian province called what?,Yomamma,FALSE,B
715,Parquet is a type of what?,African bird,FALSE,B
715,Parquet is a type of what?,Brand of cream cheese,FALSE,C
715,Parquet is a type of what?,Wooden flooring,TRUE,A
1124,Passing a soccer ball through an opponent’s legs is known as a what?,Nutmeg,TRUE,C
1124,Passing a soccer ball through an opponent’s legs is known as a what?,Peppercorn,FALSE,A
1124,Passing a soccer ball through an opponent’s legs is known as a what?,Star anise,FALSE,B
1298,Paul Newman is mentioned in the first line of what novel?,Get Shorty,FALSE,C
1298,Paul Newman is mentioned in the first line of what novel?,The Hustler,FALSE,A
1298,Paul Newman is mentioned in the first line of what novel?,The Outsiders,TRUE,B
466,Pickles are typically made with what ingredient?,Cucumbers,TRUE,C
466,Pickles are typically made with what ingredient?,Ells,FALSE,B
466,Pickles are typically made with what ingredient?,Picks,FALSE,A
980,Pink Floyd’s “Dark Side of the Moon” most famously syncs with what movie?,Apollo 13,FALSE,B
980,Pink Floyd’s “Dark Side of the Moon” most famously syncs with what movie?,The Empire Strikes Back,FALSE,A
980,Pink Floyd’s “Dark Side of the Moon” most famously syncs with what movie?,The Wizard of Oz,TRUE,C
131,Portuguese is an official language of which country?,Equatorial Guinea,TRUE,A
131,Portuguese is an official language of which country?,Papua New Guinea,FALSE,B
131,Portuguese is an official language of which country?,Republic of Guinea,FALSE,C
534,"Posted by the co-founder, the first-ever photo on Instagram featured what filter?",Hefe,FALSE,C
534,"Posted by the co-founder, the first-ever photo on Instagram featured what filter?",Nashville,FALSE,A
534,"Posted by the co-founder, the first-ever photo on Instagram featured what filter?",X-Pro II,TRUE,B
972,Project Star Gate was once a secret government program researching what?,Cryptozoology,FALSE,A
972,Project Star Gate was once a secret government program researching what?,ESP,TRUE,C
972,Project Star Gate was once a secret government program researching what?,Ghosts,FALSE,B
608,Queen Elizabeth II has famously kept what kind of dog as a pet for decades?,Chihuahua,FALSE,A
608,Queen Elizabeth II has famously kept what kind of dog as a pet for decades?,Corgi,TRUE,C
608,Queen Elizabeth II has famously kept what kind of dog as a pet for decades?,Pomeranian,FALSE,B
1033,Ransom Riggs’s debut novel was adapted into a movie by what director?,Guillermo del Toro,FALSE,C
1033,Ransom Riggs’s debut novel was adapted into a movie by what director?,Richard Linklater,FALSE,A
1033,Ransom Riggs’s debut novel was adapted into a movie by what director?,Tim Burton,TRUE,B
1126,Rockstar Games has produced two video games based on which film franchise?,Austin Powers,TRUE,C
1126,Rockstar Games has produced two video games based on which film franchise?,Shrek,FALSE,B
1126,Rockstar Games has produced two video games based on which film franchise?,The Fast and the Furious,FALSE,A
502,Ross Perot once provided a $3 million credit line to help establish which chain?,GameStop,TRUE,A
502,Ross Perot once provided a $3 million credit line to help establish which chain?,LongHorn Steakhouse,FALSE,C
502,Ross Perot once provided a $3 million credit line to help establish which chain?,Mills Fleet Farm,FALSE,B
1368,"Rumored to be made of unicorn horns, the throne chair of Denmark is actually made of what?",Horse bones,FALSE,A
1368,"Rumored to be made of unicorn horns, the throne chair of Denmark is actually made of what?",Narwhal tusks,TRUE,C
1368,"Rumored to be made of unicorn horns, the throne chair of Denmark is actually made of what?",White quartz,FALSE,B
366,Rumspringa is a rite of passage among which of these groups?,Amish,TRUE,C
366,Rumspringa is a rite of passage among which of these groups?,Jehovah's Witnesses,FALSE,B
366,Rumspringa is a rite of passage among which of these groups?,Mormons,FALSE,A
382,San Francisco's Waldo Tunnel was renamed in 2016 after a noted what?,Actor,TRUE,A
382,San Francisco's Waldo Tunnel was renamed in 2016 after a noted what?,Athlete,FALSE,C
382,San Francisco's Waldo Tunnel was renamed in 2016 after a noted what?,Politician,FALSE,B
696,Shopping mall staple Gadzooks was purchased by what fellow retailer?,Forever 21,TRUE,A
696,Shopping mall staple Gadzooks was purchased by what fellow retailer?,Hot Topic,FALSE,B
696,Shopping mall staple Gadzooks was purchased by what fellow retailer?,Spencer's,FALSE,C
347,"Since 2004, the World Chess Federation has had its headquarters in which city?",Athens,TRUE,C
347,"Since 2004, the World Chess Federation has had its headquarters in which city?",Geneva,FALSE,B
347,"Since 2004, the World Chess Federation has had its headquarters in which city?",Oslo,FALSE,A
273,Siri made its debut on which iPhone?,iPhone 4,FALSE,A
273,Siri made its debut on which iPhone?,iPhone 4S,TRUE,C
273,Siri made its debut on which iPhone?,iPhone 5,FALSE,B
925,"Sleeping through winter is hibernation, but sleeping through summer is called what?",Decarburization,FALSE,C
925,"Sleeping through winter is hibernation, but sleeping through summer is called what?",Estivation,TRUE,B
925,"Sleeping through winter is hibernation, but sleeping through summer is called what?",Transolation,FALSE,A
702,Smokey the Bear often preaches that only YOU can prevent what?,Flash mobs,FALSE,A
702,Smokey the Bear often preaches that only YOU can prevent what?,Forest fires,TRUE,C
702,Smokey the Bear often preaches that only YOU can prevent what?,Reply all emails,FALSE,B
952,Snorkelers in the water are most likely to wear what on their feet?,Clown shoes,FALSE,A
952,Snorkelers in the water are most likely to wear what on their feet?,Stiletto heels,FALSE,B
952,Snorkelers in the water are most likely to wear what on their feet?,Swim fins,TRUE,C
1204,Soup is typically eaten with what kind of kitchen utensil?,Meat thermometer,FALSE,C
1204,Soup is typically eaten with what kind of kitchen utensil?,Spoon,TRUE,B
1204,Soup is typically eaten with what kind of kitchen utensil?,Toothpick,FALSE,A
399,Spider-Man is known for flinging what from his wrists?,Air freshener,FALSE,A
399,Spider-Man is known for flinging what from his wrists?,Liquid cheese,FALSE,C
399,Spider-Man is known for flinging what from his wrists?,Webs,TRUE,B
856,Street art that involves spraying paint on walls is known as what?,Giraffe,FALSE,B
856,Street art that involves spraying paint on walls is known as what?,Graffiti,TRUE,C
856,Street art that involves spraying paint on walls is known as what?,Peter Griffin,FALSE,A
173,Students of Auguste Escoffier would have known how to do what?,Design a chateau,FALSE,A
173,Students of Auguste Escoffier would have known how to do what?,Perform a grand jeté,FALSE,B
173,Students of Auguste Escoffier would have known how to do what?,Prepare a velouté,TRUE,C
1183,Surviving the Titanic earned Molly Brown what nickname?,Unbreakable,FALSE,C
1183,Surviving the Titanic earned Molly Brown what nickname?,Unforgettable,FALSE,A
1183,Surviving the Titanic earned Molly Brown what nickname?,Unsinkable,TRUE,B
682,"Technically, all licensed U.S. dentists are also officially what?",Dental surgeons,TRUE,B
682,"Technically, all licensed U.S. dentists are also officially what?",Orthodontists,FALSE,A
682,"Technically, all licensed U.S. dentists are also officially what?",Private practitioners,FALSE,C
969,Tenzing Norgay is credited as one of the first two men to reach what place?,North Pole,FALSE,C
969,Tenzing Norgay is credited as one of the first two men to reach what place?,South Pole,FALSE,B
969,Tenzing Norgay is credited as one of the first two men to reach what place?,Top of Mt. Everest,TRUE,A
929,TGIF most commonly stands for “Thank God It’s” what?,Flavortown,FALSE,C
929,TGIF most commonly stands for “Thank God It’s” what?,Frankenstein,FALSE,B
929,TGIF most commonly stands for “Thank God It’s” what?,Friday,TRUE,A
1098,"Thanks to an old process for quick copying, architectural plans are traditionally what color?",Black,FALSE,A
1098,"Thanks to an old process for quick copying, architectural plans are traditionally what color?",Blue,TRUE,C
1098,"Thanks to an old process for quick copying, architectural plans are traditionally what color?",Orange,FALSE,B
448,"Thanks to how the French language works, what is NATO called in France?",NAOT,FALSE,A
448,"Thanks to how the French language works, what is NATO called in France?",NOTA,FALSE,B
448,"Thanks to how the French language works, what is NATO called in France?",OTAN,TRUE,C
1361,"Thanks to its density, which of these elements is the heaviest?",Aluminum,FALSE,C
1361,"Thanks to its density, which of these elements is the heaviest?",Lead,TRUE,A
1361,"Thanks to its density, which of these elements is the heaviest?",Silver,FALSE,B
482,"Thanks to its looks, a common European frog shares a name with what herb?",Chive,FALSE,A
482,"Thanks to its looks, a common European frog shares a name with what herb?",Parsley,TRUE,B
482,"Thanks to its looks, a common European frog shares a name with what herb?",Rosemary,FALSE,C
922,"Thanks to the time it took to make, what movie was almost called “12 Years”?",Boyhood,TRUE,A
922,"Thanks to the time it took to make, what movie was almost called “12 Years”?",Castaway,FALSE,C
922,"Thanks to the time it took to make, what movie was almost called “12 Years”?",The LEGO Movie,FALSE,B
1224,The “Back to the Future” movie trilogy spans how long a period of time?,100 years,FALSE,C
1224,The “Back to the Future” movie trilogy spans how long a period of time?,130 years,TRUE,A
1224,The “Back to the Future” movie trilogy spans how long a period of time?,60 years,FALSE,B
130,The “Cha-Cha Slide” includes a dance move named after what cartoon character?,Charlie Brown,TRUE,C
130,The “Cha-Cha Slide” includes a dance move named after what cartoon character?,Daffy Duck,FALSE,B
130,The “Cha-Cha Slide” includes a dance move named after what cartoon character?,Scooby-Doo,FALSE,A
190,The “Father of Art Deco” designed over 200 covers for which magazine?,Harper’s Bazaar,TRUE,B
190,The “Father of Art Deco” designed over 200 covers for which magazine?,New Yorker,FALSE,A
190,The “Father of Art Deco” designed over 200 covers for which magazine?,Vogue,FALSE,C
158,The “skyhook” is a move in which of these sports?,Acrobatics,FALSE,B
158,The “skyhook” is a move in which of these sports?,Basketball,TRUE,C
158,The “skyhook” is a move in which of these sports?,Polo,FALSE,A
741,The “Streisand effect” describes when an attempt at what backfires?,Career comeback,FALSE,A
741,The “Streisand effect” describes when an attempt at what backfires?,Privacy,TRUE,C
741,The “Streisand effect” describes when an attempt at what backfires?,Restricting alimony,FALSE,B
1467,The 1980 US hockey team won the gold medal by defeating which country in the final game?,Canada,FALSE,B
1467,The 1980 US hockey team won the gold medal by defeating which country in the final game?,Finland,TRUE,A
1467,The 1980 US hockey team won the gold medal by defeating which country in the final game?,Soviet Union,FALSE,C
187,The 2008 Olympics were the first time the medals contained what material?,Amber,FALSE,B
187,The 2008 Olympics were the first time the medals contained what material?,Coral,FALSE,C
187,The 2008 Olympics were the first time the medals contained what material?,Jade,TRUE,A
1316,The 20th century US Supreme Court Justice Marshall was born with what first name?,Thergood,FALSE,B
1316,The 20th century US Supreme Court Justice Marshall was born with what first name?,Thoroughgood,TRUE,C
1316,The 20th century US Supreme Court Justice Marshall was born with what first name?,Thoroughly,FALSE,A
1343,The acclaimed author of “The Year of Magical Thinking” has appeared in ads for what fashion brand?,Céline,TRUE,C
1343,The acclaimed author of “The Year of Magical Thinking” has appeared in ads for what fashion brand?,Chanel,FALSE,B
1343,The acclaimed author of “The Year of Magical Thinking” has appeared in ads for what fashion brand?,Givenchy,FALSE,A
1456,The actor behind which “Fresh Prince” character also had a long career voicing cartoon villains?,Carlton,FALSE,A
1456,The actor behind which “Fresh Prince” character also had a long career voicing cartoon villains?,Geoffrey,FALSE,C
1456,The actor behind which “Fresh Prince” character also had a long career voicing cartoon villains?,Philip,TRUE,B
977,The area where one practices Japanese martial arts is often called what?,Department of Justice,FALSE,B
977,The area where one practices Japanese martial arts is often called what?,DJ Tanner’s house,FALSE,C
977,The area where one practices Japanese martial arts is often called what?,Dojo,TRUE,A
127,The Ark of the Covenant supposedly contains what religious artifact?,Shroud of Turin,FALSE,C
127,The Ark of the Covenant supposedly contains what religious artifact?,The Holy Grail,FALSE,B
127,The Ark of the Covenant supposedly contains what religious artifact?,The Ten Commandments,TRUE,A
1460,The arrow next to the gas gauge on a car dashboard is designed to point to what?,Filler cap,TRUE,B
1460,The arrow next to the gas gauge on a car dashboard is designed to point to what?,Oil gauge,FALSE,A
1460,The arrow next to the gas gauge on a car dashboard is designed to point to what?,Trunk,FALSE,C
119,The athlete who has competed in the most Olympic games hails from which country?,Canada,TRUE,A
119,The athlete who has competed in the most Olympic games hails from which country?,Finland,FALSE,B
119,The athlete who has competed in the most Olympic games hails from which country?,Japan,FALSE,C
1145,The author Bram Stoker created what famous vampire in 1897?,Bat Damon,FALSE,C
1145,The author Bram Stoker created what famous vampire in 1897?,Bitey Perry,FALSE,B
1145,The author Bram Stoker created what famous vampire in 1897?,Count Dracula,TRUE,A
